PatchId,FileName,FullPath,CompletedDate
77,2022_08_23_sd_CodeValue_CodeSet_Data.sql,C:\workspace\gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_08_23_sd_CodeValue_CodeSet_Data.sql,2022-09-07 13:57:17.590
78,2022_08_25_ALTER_MarketPlatformInstrumentSubtype_ADD_COLUMN_AllowBid.sql,C:\workspace\gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_08_25_ALTER_MarketPlatformInstrumentSubtype_ADD_COLUMN_AllowBid.sql,2022-09-07 13:57:17.743
79,2022_08_25_ALTER_MarketPlatformInstrumentSubtype_ADD_COLUMN_AllowMarket.sql,C:\workspace\gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_08_25_ALTER_MarketPlatformInstrumentSubtype_ADD_COLUMN_AllowMarket.sql,2022-09-07 13:57:17.900
80,2022_08_26_UPDATE_MarketPlatformInstrumentSubtype_AllowBid_And_AllowMarket.sql,C:\workspace\gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_08_26_UPDATE_MarketPlatformInstrumentSubtype_AllowBid_And_AllowMarket.sql,2022-09-07 13:57:18.053
81,2022_09_07_Remove_Invalid_Subtypes.sql,C:\workspace\gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_09_07_Remove_Invalid_Subtypes.sql,2022-09-07 13:57:18.180
82,2022_09_08_12_sd_SeedInitialDashboardWidgets.sql,C:\workspace\gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_09_08_12_sd_SeedInitialDashboardWidgets.sql,2022-09-09 09:54:33.790
83,2022_09_13_ALTER_PriceComponentDetail_ADD_COLUMN_IsCostComponent.sql,C:\workspace\gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_09_13_ALTER_PriceComponentDetail_ADD_COLUMN_IsCostComponent.sql,2022-09-15 14:19:22.800
84,2022_09_15_ALTER_Credential_ADD_COLUMN_TermsAndConditionsAcceptedDateTime.sql,C:\workspace\gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_09_15_ALTER_Credential_ADD_COLUMN_TermsAndConditionsAcceptedDateTime.sql,2022-09-15 14:19:22.990
85,2022_09_16_0_UpdateForeignKeyReferenceValues.sql,C:\workspace\gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_09_16_0_UpdateForeignKeyReferenceValues.sql,2022-09-23 12:49:07.137
86,2022_09_16_1_sd_Roles_Data.sql,C:\workspace\gravitate\Gravitate.Growmark\SQL\UpgradeScripts\V6_0\2022_09_16_1_sd_Roles_Data.sql,2022-09-23 12:49:08.510
